Date,Open,High,Low,Close,Volume
2025-03-04,198.66,203.035,193.26,198.77,6164224.0
2025-03-03,207.1,208.48,200.8109,201.96,5376418.0
2025-02-28,202.0,207.32,201.03,206.98,6117448.0
2025-02-27,204.255,205.47,201.1,201.43,3480172.0
2025-02-26,201.565,204.6,199.99,201.61,3157616.0
2025-02-25,199.0,200.08,194.84,199.27,4121431.0
2025-02-24,202.75,203.25,197.43,198.71,4299102.0
2025-02-21,208.38,209.12,198.44,199.83,5419461.0
2025-02-20,209.825,210.275,207.15,208.74,2969052.0
2025-02-19,209.29,211.7808,208.88,210.5,2699066.0
2025-02-18,209.87,212.1929,209.32,210.08,4395963.0
2025-02-14,208.61,209.16,204.97,208.27,4268458.0
2025-02-13,211.19,211.3,206.2666,208.36,3763283.0
2025-02-12,206.7,211.42,206.14,209.64,4595182.0
2025-02-11,204.95,209.1499,204.44,208.82,4110933.0
2025-02-10,206.24,206.66,203.4,205.22,3787836.0
2025-02-07,206.48,207.84,204.5,205.28,3954373.0
2025-02-06,205.0,206.1,204.06,206.06,3113444.0
2025-02-05,203.5,205.28,201.79,204.58,3239416.0
2025-02-04,202.93,204.54,200.43,202.18,5413812.0
2025-02-03,199.26,204.73,198.97,204.11,4678259.0
2025-01-31,205.84,205.87,203.07,203.57,5514250.0
2025-01-30,199.48,205.93,199.48,205.57,6282073.0
2025-01-29,194.925,199.94,194.925,199.1,5595791.0
2025-01-28,195.295,196.55,191.79,194.43,4858823.0
2025-01-27,194.34,196.6299,192.74,194.46,7674813.0
2025-01-24,202.5,203.0,195.52,196.75,7835717.0
2025-01-23,201.4,207.65,198.1,200.8,14403549.0
2025-01-22,188.125,189.24,186.61,188.36,7457807.0
2025-01-21,184.65,189.32,184.51,187.5,7508406.0
2025-01-17,180.34,183.19,179.96,182.85,5899122.0
2025-01-16,181.68,182.88,178.6161,179.74,6144731.0
2025-01-15,179.07,180.875,178.88,180.29,7396952.0
2025-01-14,172.78,177.9,172.395,176.86,6432707.0
2025-01-13,169.51,172.52,169.0,171.57,5610767.0
2025-01-10,172.295,173.46,170.74,171.69,5131215.0
2025-01-08,171.71,173.58,170.71,172.89,4528044.0
2025-01-07,172.33,173.7,170.78,172.31,6496810.0
2025-01-06,172.75,173.68,171.18,172.45,4980254.0
