Date,Open,High,Low,Close,Volume
2025-05-20,296.595,298.2,294.19,296.17,2706559.0
2025-05-19,297.0,300.89,295.69,299.3,2751474.0
2025-05-16,300.345,301.65,297.833,299.72,2962233.0
2025-05-15,298.75,300.93,297.0001,299.55,1955140.0
2025-05-14,302.87,303.62,299.445,300.1,1954781.0
2025-05-13,299.5,303.02,298.82,302.3,3532113.0
2025-05-12,297.34,299.165,294.73,298.92,4089025.0
2025-05-09,285.365,287.0,282.97,284.51,2704979.0
2025-05-08,279.43,285.4999,278.7345,283.66,3417972.0
2025-05-07,276.95,278.81,273.89,276.24,2329448.0
2025-05-06,274.48,278.12,273.61,275.37,3063958.0
2025-05-05,275.46,281.59,274.08,278.03,2416485.0
2025-05-02,274.5,278.1,273.1,276.85,3099732.0
2025-05-01,267.25,272.66,266.52,268.54,2473915.0
2025-04-30,260.395,267.42,257.21,266.41,3522670.0
2025-04-29,265.43,267.475,261.83,267.02,1730942.0
2025-04-28,264.78,268.0,262.53,264.95,1561627.0
2025-04-25,266.0,268.86,264.0,264.81,1940096.0
2025-04-24,258.07,268.0,258.0,267.32,2696315.0
2025-04-23,261.87,270.17,259.26,260.14,3872872.0
2025-04-22,247.095,253.24,246.37,252.42,2324093.0
2025-04-21,247.6609,250.2618,239.27,242.51,4302917.0
2025-04-17,252.95,255.62,247.1,251.31,3907488.0
2025-04-16,255.16,258.94,249.63,252.92,4244855.0
2025-04-15,255.5,260.63,255.3,257.86,3509063.0
2025-04-14,256.52,257.62,252.16,255.38,3067443.0
2025-04-11,245.905,252.77,243.135,251.13,4413488.0
2025-04-10,255.015,255.5,238.5196,246.89,4799892.0
2025-04-09,228.25,264.77,226.26,262.36,8640614.0
2025-04-08,245.83,247.0,227.36,231.39,4782062.0
2025-04-07,225.285,241.94,220.43,234.28,6283581.0
2025-04-04,237.92,238.97,228.62,233.68,9097521.0
2025-04-03,260.2,261.0,247.175,247.82,7736239.0
2025-04-02,267.385,277.3185,266.57,275.25,2473717.0
2025-04-01,266.24,270.8725,265.1182,270.48,2881391.0
2025-03-31,260.868,270.34,259.0,269.05,3945965.0
2025-03-28,271.36,272.6425,263.01,265.48,3261477.0
2025-03-27,274.75,275.5,270.54,272.02,2312304.0
2025-03-26,280.285,282.125,274.595,276.0,2580005.0
2025-03-25,278.65,279.79,276.21,279.28,2767709.0
2025-03-24,275.23,278.25,274.23,277.86,2651382.0
2025-03-21,267.82,270.56,265.16,270.51,4229709.0
2025-03-20,269.03,274.55,268.22,270.83,2129461.0
2025-03-19,263.03,272.01,261.26,270.65,2894170.0
2025-03-18,264.76,265.5,260.46,262.72,3251729.0
2025-03-17,265.0022,266.435,261.27,264.38,2975878.0
2025-03-14,260.145,266.66,259.0,265.63,4337169.0
2025-03-13,259.69,261.51,253.52,256.43,4194194.0
2025-03-12,260.0,262.82,255.0,260.75,5514889.0
2025-03-11,257.5,260.24,253.54,255.39,4925622.0
2025-03-10,267.715,268.59,257.45,261.32,4284073.0
2025-03-07,272.8653,274.17,264.71,273.21,3817261.0
2025-03-06,279.8,282.16,274.53,275.64,2944193.0
2025-03-05,283.0,286.12,280.63,284.18,2569425.0
2025-03-04,291.7,291.775,277.58,283.47,5901177.0
2025-03-03,301.4,303.465,293.11,295.49,2342901.0
2025-02-28,295.655,301.07,294.97,300.96,3336314.0
2025-02-27,296.605,301.0,293.04,294.2,2032094.0
2025-02-26,295.5,299.3411,293.67,296.1,1899367.0
2025-02-25,296.505,298.409,289.53,293.34,2511713.0
2025-02-24,297.34,298.98,292.42,295.53,2450586.0
2025-02-21,304.69,304.94,293.8528,295.4,3280197.0
2025-02-20,309.48,309.96,298.69,303.86,2830301.0
2025-02-19,311.6,311.9999,306.87,309.92,2148248.0
2025-02-18,313.5,313.685,309.03,312.85,2024496.0
2025-02-14,307.5,311.85,307.42,311.04,1725509.0
2025-02-13,307.55,309.63,305.88,307.5,1975609.0
2025-02-12,307.75,307.96,303.91,306.4,2238615.0
2025-02-11,308.305,310.505,306.3444,309.57,1856192.0
2025-02-10,318.01,318.45,306.01,310.26,3227021.0
2025-02-07,321.0,321.4025,316.29,316.77,1607256.0
2025-02-06,322.71,323.25,317.205,320.15,1730588.0
2025-02-05,317.94,320.71,315.1,320.53,2065654.0
2025-02-04,315.25,317.36,313.11,315.83,1884457.0
2025-02-03,312.135,317.0,309.19,316.53,1997553.0
2025-01-31,320.91,321.6365,315.51,317.45,2034005.0
2025-01-30,316.76,321.894,316.0,318.95,2517669.0
2025-01-29,317.1638,319.48,314.14,315.25,2155365.0
