Date,Open,High,Low,Close,Volume
2025-02-14,84.415,84.78,82.0939,83.01,26778993.0
2025-02-13,85.585,85.7,84.31,84.42,20415058.0
2025-02-12,86.07,86.67,85.61,85.67,14785256.0
2025-02-11,86.06,86.99,85.73,86.54,20922343.0
2025-02-10,87.2,87.98,86.27,86.4,21212053.0
2025-02-07,87.52,88.6,87.12,87.28,15814967.0
2025-02-06,89.41,89.5713,87.84,88.05,19509701.0
2025-02-05,90.39,90.74,87.995,89.67,21670599.0
2025-02-04,89.0,91.23,87.33,90.74,50837558.0
2025-02-03,98.13,100.15,98.0,99.79,13363888.0
2025-01-31,99.1,100.0599,98.58,98.82,11421621.0
2025-01-30,99.41,99.41,98.23,98.95,10164720.0
2025-01-29,97.45,99.15,97.39,98.28,10225477.0
2025-01-28,97.35,98.88,96.59,97.45,12840948.0
2025-01-27,96.63,98.62,95.98,97.94,15093381.0
2025-01-24,96.79,97.1,95.405,95.55,12244790.0
2025-01-23,96.11,97.155,95.22,96.63,11522811.0
2025-01-22,95.955,97.0,95.15,95.68,13070881.0
2025-01-21,98.08,98.27,95.76,96.24,17756056.0
2025-01-17,100.43,100.47,97.92,97.92,16181960.0
2025-01-16,100.18,100.895,99.95,100.7,7749642.0
2025-01-15,100.095,100.82,99.61,100.09,9170335.0
2025-01-14,101.26,101.49,99.01,99.65,10927440.0
2025-01-13,99.46,101.159,98.99,100.98,8168081.0
2025-01-10,99.21,100.405,98.81,99.25,11328770.0
2025-01-08,100.7,100.77,98.05,99.85,8654722.0
2025-01-07,100.13,102.97,100.05,101.02,10890890.0
2025-01-06,98.77,100.33,98.42,99.72,10111144.0
2025-01-03,99.34,99.75,98.69,99.14,6072551.0
2025-01-02,100.28,100.35,98.83,99.17,6153261.0
2024-12-31,98.5,99.53,98.434,99.48,6598522.0
2024-12-30,99.57,99.57,98.27,98.37,6848715.0
2024-12-27,99.5,100.35,99.24,99.7,6173658.0
2024-12-26,99.08,99.94,98.92,99.87,4760750.0
2024-12-24,99.29,99.64,98.795,99.45,3713479.0
2024-12-23,98.5799,99.59,98.2009,99.37,8460460.0
2024-12-20,98.83,99.68,97.9,98.05,29289741.0
2024-12-19,98.56,99.935,97.82,99.52,12110776.0
2024-12-18,100.19,101.5,98.27,98.34,11993415.0
2024-12-17,99.9,100.8,99.36,100.06,13975079.0
2024-12-16,101.253,102.28,100.05,100.06,11701064.0
2024-12-13,100.327,101.755,99.7317,101.19,10199219.804817
2024-12-12,100.882,102.182,99.3249,100.446,9630879.5142471
2024-12-11,99.9003,100.644,98.4718,98.9579,21785986.363332
2024-12-10,102.946,102.946,99.94,100.198,11450368.396635
2024-12-09,102.043,104.234,101.517,102.966,19315857.635078
2024-12-06,102.782,103.12,101.875,102.271,11562484.732246
2024-12-05,100.684,103.313,100.545,102.728,11151215.772843
2024-12-04,100.912,101.279,100.248,100.565,11405562.585782
2024-12-03,99.9499,101.636,99.821,101.041,11486804.744102
2024-12-02,100.922,101.041,99.6622,99.811,13812825.082191
2024-11-29,102.058,102.222,100.724,100.833,6129855.2626712
2024-11-27,100.843,102.628,100.833,102.301,9880635.8735831
