Date,Open,High,Low,Close,Volume
2025-08-13,507.91,514.525,500.55,513.54,1852437.0
2025-08-12,510.9,513.48,501.77,505.85,1286286.0
2025-08-11,511.0,515.29,502.37,506.98,1098185.0
2025-08-08,508.68,516.28,507.325,510.37,883909.0
2025-08-07,512.055,514.05,501.63,506.64,958605.0
2025-08-06,508.57,514.03,507.375,509.64,966739.0
2025-08-05,510.53,512.105,504.0,508.58,1027932.0
2025-08-04,501.5,512.17,493.29,510.56,1087633.0
2025-08-01,517.71,520.17,500.0,500.98,1623338.0
2025-07-31,512.0,526.5556,512.0,524.37,1549335.0
2025-07-30,510.44,512.72,504.735,507.87,1121302.0
2025-07-29,511.875,514.8,505.9601,512.5,1139276.0
2025-07-28,516.51,516.51,509.0482,510.55,824665.0
2025-07-25,514.0,519.0,508.7695,517.38,858451.0
2025-07-24,513.61,517.495,511.41,514.66,850056.0
2025-07-23,509.84,515.8,505.9,515.17,995312.0
2025-07-22,496.91,508.19,496.175,505.69,976048.0
2025-07-21,504.63,506.249,496.03,496.24,1111220.0
2025-07-18,503.02,503.197,496.9,499.82,1064558.0
2025-07-17,506.28,512.94,492.06,499.14,1778885.0
2025-07-16,504.645,508.67,499.11,507.73,1150688.0
2025-07-15,508.44,511.62,503.11,503.47,1173076.0
2025-07-14,511.25,512.7785,502.13,507.61,1087056.0
2025-07-11,515.625,515.88,509.66,512.41,1047165.0
2025-07-10,510.5,528.98,510.5,519.2,1268934.0
2025-07-09,512.065,512.065,499.51,509.33,1152545.0
2025-07-08,508.885,514.73,507.34,508.91,1285072.0
2025-07-07,517.64,519.46,506.96,510.29,1017279.0
2025-07-03,521.03,523.58,519.435,520.97,470313.0
2025-07-02,507.39,520.58,507.39,520.31,1096876.0
2025-07-01,505.09,514.8155,494.93,508.36,1375269.0
2025-06-30,512.2525,512.37,504.46,508.49,1408642.0
2025-06-27,509.0,514.37,507.09,513.34,1835475.0
2025-06-26,508.99,509.43,503.35,508.53,1199411.0
2025-06-25,513.965,514.0,502.93,506.74,1189224.0
2025-06-24,517.63,518.6,507.88,514.1,1215674.0
2025-06-23,518.54,522.9199,505.66,514.08,1261442.0
2025-06-20,528.94,530.0,518.94,521.38,1389711.0
2025-06-18,522.63,531.38,521.34,524.98,959731.0
2025-06-17,522.885,524.99,519.9,523.12,862537.0
2025-06-16,513.61,526.44,512.851,524.44,1278803.0
2025-06-13,512.28,516.4,507.73,509.59,824507.0
2025-06-12,518.01,520.11,515.0,516.86,797140.0
2025-06-11,518.43,521.61,512.63,520.84,1037093.0
2025-06-10,520.195,520.605,508.96,515.82,1294210.0
2025-06-09,521.0,525.6004,517.6,521.68,1100962.0
2025-06-06,519.63,526.0,518.02,519.99,1474160.0
2025-06-05,509.64,514.9035,507.05,510.75,1126141.0
2025-06-04,514.16,516.73,507.45,507.78,992748.0
2025-06-03,507.26,514.675,506.02,513.15,1107674.0
2025-06-02,505.57,509.2775,501.02,507.84,994059.0
2025-05-30,505.18,513.85,503.11,506.26,1686545.0
2025-05-29,509.8,510.5,502.08,503.45,994227.0
2025-05-28,511.45,511.72,505.845,507.99,740160.0
2025-05-27,513.21,514.9412,505.8,509.63,1103534.0
2025-05-23,510.52,516.77,508.6925,510.06,850766.0
2025-05-22,514.0,519.16,511.35,515.65,949194.0
2025-05-21,519.3866,523.005,514.085,514.66,1060330.0
2025-05-20,526.955,529.745,523.81,526.33,1250532.0
2025-05-19,527.25,532.47,521.55,529.83,1273371.0
2025-05-16,515.8,533.78,515.8,531.48,2322406.0
2025-05-15,517.35,531.54,508.2,516.32,3211792.0
2025-05-14,498.1,501.02,496.06,497.5,1601205.0
2025-05-13,495.94,501.655,492.97,498.57,1500145.0
2025-05-12,507.96,514.0,493.96,495.62,1597239.0
2025-05-09,491.2,493.93,489.1219,492.6,653569.0
2025-05-08,476.51,494.189,476.51,489.99,1568789.0
2025-05-07,477.405,477.405,469.26,472.4,1011256.0
2025-05-06,478.05,481.77,475.01,475.3,887768.0
2025-05-05,479.85,485.2,477.25,481.34,805233.0
2025-05-02,487.485,492.31,480.68,481.67,1108818.0
2025-05-01,465.0,485.47,464.245,480.02,1855489.0
2025-04-30,460.185,465.29,452.0,463.56,1326139.0
2025-04-29,459.5,462.895,452.41,460.64,799645.0
2025-04-28,461.5,465.175,457.08,460.2,755088.0
2025-04-25,463.61,465.9618,457.34,459.3,983363.0
2025-04-24,457.315,466.51,456.97,464.51,828436.0
2025-04-23,464.25,471.96,454.37,456.44,1025538.0
2025-04-22,448.395,458.25,446.25,454.66,751642.0
2025-04-21,451.0,451.86,435.95,441.56,969275.0
2025-04-17,454.87,458.87,451.525,452.07,1044874.0
2025-04-16,455.33,461.585,448.68,452.42,1015573.0
2025-04-15,465.04,467.13,460.65,461.26,1143636.0
2025-04-14,464.0,472.78,461.465,467.67,1283610.0
2025-04-11,444.06,463.38,441.5,459.13,1245120.0
2025-04-10,445.985,449.23,428.53,444.19,1956613.0
2025-04-09,407.72,455.67,404.42,452.59,2914695.0
2025-04-08,433.94,435.59,406.08,412.99,1816635.0
2025-04-07,417.27,441.04,412.3,423.35,3007808.0
2025-04-04,427.85,438.79,420.04,429.86,3609711.0
2025-04-03,456.765,463.69,446.6,447.45,2287976.0
2025-04-02,471.87,474.49,464.78,470.9,1394743.0
2025-04-01,469.77,479.5523,466.01,478.45,1253572.0
2025-03-31,460.63,472.9043,458.38,469.35,1496676.0
2025-03-28,475.8,479.545,462.75,465.31,1183591.0
2025-03-27,481.69,490.58,478.81,479.72,1193256.0
2025-03-26,481.35,484.89,477.18,483.62,811268.0
2025-03-25,481.0,482.16,477.15,478.93,808229.0
2025-03-24,476.35,483.23,474.16,479.96,903919.0
2025-03-21,473.47,475.7,468.3025,472.43,1685211.0
2025-03-20,475.985,480.54,468.09,477.02,1153437.0
2025-03-19,480.36,482.82,477.18,479.41,841944.0
2025-03-18,481.02,486.04,478.94,481.17,931744.0
2025-03-17,476.0,486.08,475.51,482.35,893001.0
2025-03-14,471.87,481.32,470.45,477.5,1018178.0
2025-03-13,472.51,480.0,465.5,467.09,1314662.0
2025-03-12,475.0,476.624,463.21,471.37,1679979.0
2025-03-11,485.11,488.54,472.71,475.5,1492326.0
2025-03-10,497.9,504.98,480.55,488.78,2174137.0
2025-03-07,480.49,500.27,478.27,499.62,2615890.0
2025-03-06,468.0,484.89,465.3,482.84,1695852.0
2025-03-05,460.39,468.84,458.65,467.5,1291545.0
2025-03-04,453.905,463.29,447.65,458.38,2325973.0
2025-03-03,482.445,484.665,463.545,465.83,1487749.0
2025-02-28,479.915,485.21,472.56,480.79,1995901.0
2025-02-27,480.76,487.4555,479.16,480.55,1328590.0
2025-02-26,490.0,490.73,477.42,478.52,1557775.0
2025-02-25,486.88,490.75,482.85,487.59,1214842.0
2025-02-24,490.0,492.35,482.15,484.55,1245878.0
2025-02-21,497.52,498.7699,487.26,489.98,1104505.0
2025-02-20,508.05,509.26,493.11,495.79,1514546.0
2025-02-19,497.19,515.05,496.0,509.27,2095585.0
2025-02-18,481.0,502.1,480.0,501.56,2367988.0
2025-02-14,469.0,481.14,467.095,480.22,1919441.0
2025-02-13,454.5,474.38,451.22,466.22,3058590.0
2025-02-12,470.74,477.78,463.97,476.56,2038906.0
2025-02-11,469.52,476.7,468.875,474.3,1489074.0
2025-02-10,468.785,471.88,464.0,469.98,1349051.0
2025-02-07,468.38,469.47,463.0,465.6,898075.0
2025-02-06,469.69,471.36,463.4627,464.98,809354.0
2025-02-05,473.55,473.99,464.71,467.68,1084659.0
2025-02-04,467.025,474.63,465.0,472.27,1045683.0
2025-02-03,465.29,469.67,459.14,467.05,1397663.0
2025-01-31,477.74,479.59,474.0625,476.56,1400758.0
2025-01-30,475.7,483.58,474.42,479.99,1122301.0
2025-01-29,481.0,482.84,477.325,478.16,977036.0
2025-01-28,483.155,485.84,476.32,479.99,1642409.0
2025-01-27,480.0,484.39,474.11,484.15,1418544.0
2025-01-24,473.99,479.48,472.36,478.77,1400811.0
2025-01-23,460.645,475.92,460.645,474.72,1934695.0
2025-01-22,462.84,464.32,458.57,459.75,1132229.0
2025-01-21,458.76,465.59,453.55,463.15,1733913.0
2025-01-17,447.63,457.2246,443.64,455.44,2315715.0
2025-01-16,430.38,439.87,428.51,439.11,1181427.0
2025-01-15,437.405,438.0,426.45,428.88,1432095.0
2025-01-14,430.2,433.44,427.3601,432.31,1224705.0
2025-01-13,408.1,432.27,406.08,429.91,1988831.0
2025-01-10,403.942,411.39,403.01,408.57,1699154.0
2025-01-08,411.06,411.97,408.21,410.0,878065.0
2025-01-07,417.04,420.0995,412.345,413.27,1223518.0
2025-01-06,424.0,429.1,417.88,418.0,1077951.0
2025-01-03,420.215,422.94,416.68,422.22,875122.0
2025-01-02,426.19,428.84,417.88,418.18,1005316.0
2024-12-31,424.64,427.8,421.46,423.7,772818.0
2024-12-30,427.71,427.895,421.73,424.64,792568.0
2024-12-27,429.83,435.17,427.0901,430.06,735346.0
2024-12-26,431.98,435.45,430.4425,433.84,444867.0
2024-12-24,430.61,433.59,428.71,432.84,383167.0
2024-12-23,432.11,432.63,427.0,432.38,1094273.0
2024-12-20,426.52,436.4975,425.74,432.49,2446431.0
2024-12-19,428.13,431.06,421.97,426.63,1757472.0
2024-12-18,442.41,445.31,424.51,426.0,1423826.0
2024-12-17,436.25,444.94,435.0,443.59,1357363.0
2024-12-16,440.23,441.4,436.0,438.42,956866.0
2024-12-13,440.23,442.12,437.0201,440.44,900756.0
2024-12-12,446.9,447.63,438.46,439.48,867306.0
2024-12-11,448.0,449.76,446.0822,448.03,1677747.0
2024-12-10,447.2,448.69,441.0,443.96,1215691.0
2024-12-09,445.0,453.2534,444.12,449.41,1209323.0
2024-12-06,446.5,448.96,442.97,444.0,1130085.0
2024-12-05,457.63,458.365,447.93,448.12,1159719.0
2024-12-04,459.0,462.23,453.3,456.26,1056418.0
2024-12-03,464.17,465.54,458.95,459.25,1166248.0
2024-12-02,463.7,464.3,458.85,462.95,1318644.0
2024-11-29,466.24,469.09,464.17,465.9,732229.0
