Date,Open,High,Low,Close,Volume
2025-05-08,103.97,106.19,103.855,105.12,19265441
2025-05-07,102.42,103.3099,100.1411,102.09,36174940
2025-05-06,91.2,92.74,91.0,92.17,11839405
2025-05-05,89.7,93.075,89.61,92.11,10231010
2025-05-02,91.84,93.185,91.84,92.49,7594041
2025-05-01,91.265,91.61,90.36,90.81,7790638
2025-04-30,89.89,91.19,88.56,90.95,8474834
2025-04-29,89.83,91.655,89.76,91.17,6359924
2025-04-28,90.45,91.365,89.64,90.16,8491785
2025-04-25,90.09,90.34,89.07,90.28,7749630
2025-04-24,87.45,90.24,86.77,90.01,10309953
2025-04-23,89.025,89.87,87.03,87.29,12089123
2025-04-22,85.01,86.56,84.6,86.09,9578470
2025-04-21,84.91,85.23,82.98,84.0,14166825
2025-04-17,83.37,85.78,83.36,84.81,14810894
2025-04-16,84.28,84.8,82.0072,82.77,10144289
2025-04-15,84.75,85.98,84.52,85.01,7840454
2025-04-14,85.83,86.45,84.03,84.66,10841307
2025-04-11,85.05,85.6659,83.35,84.89,10204364
2025-04-10,88.92,89.01,83.07,85.23,16376962
2025-04-09,81.29,92.25,81.19,91.44,24970930
2025-04-08,85.95,86.95,80.85,81.72,14845638
2025-04-07,80.9002,86.63,80.1,83.3,20455994
2025-04-04,86.24,87.54,83.08,83.53,22580894
2025-04-03,94.51,94.78,88.605,88.84,19353389
2025-04-02,96.615,98.308,96.45,97.88,7959946
2025-04-01,98.32,98.59,96.84,97.68,8762675
2025-03-31,96.83,98.85,95.7,98.7,10554041
2025-03-28,100.05,100.39,97.74,98.07,7679702
2025-03-27,100.71,101.03,99.58,100.45,6598776
2025-03-26,101.7,102.27,100.26,100.78,6316413
2025-03-25,100.65,101.76,100.405,101.61,7365249
2025-03-24,100.22,100.44,98.86,100.18,8224405
2025-03-21,98.275,99.89,97.75,99.46,15089873
2025-03-20,99.51,100.05,98.64,98.86,7836515
2025-03-19,99.655,100.96,99.47,100.29,8614622
2025-03-18,99.27,99.725,98.475,99.35,6727404
2025-03-17,98.74,100.12,98.66,99.36,8332119
2025-03-14,97.44,99.0985,97.415,98.64,10199761
2025-03-13,97.77,98.65,95.925,96.87,11059480
2025-03-12,98.68,99.49,96.38,98.76,11891787
